,timestamp,sensor_id,sensor,measurement,sensor_type,value
250,2025-08-24T12:48:20.749,ESP32,DHT11,temperature-humidity,temperature,22
251,2025-08-24T12:48:20.749,ESP32,DHT11,temperature-humidity,humidity,20
252,2025-08-24T12:48:23.200,ESP32,DHT11,temperature-humidity,temperature,22
253,2025-08-24T12:48:23.200,ESP32,DHT11,temperature-humidity,humidity,20
254,2025-08-24T12:48:25.660,ESP32,DHT11,temperature-humidity,humidity,20
255,2025-08-24T12:48:25.660,ESP32,DHT11,temperature-humidity,temperature,22
256,2025-08-24T12:48:28.695,ESP32,DHT11,temperature-humidity,temperature,22
257,2025-08-24T12:48:28.695,ESP32,DHT11,temperature-humidity,humidity,20
258,2025-08-24T12:48:37.135,ESP32,DHT11,temperature-humidity,humidity,20
259,2025-08-24T12:48:37.135,ESP32,DHT11,temperature-humidity,temperature,22
260,2025-08-24T12:48:55.962,ESP32,DHT11,temperature-humidity,temperature,22
261,2025-08-24T12:48:55.962,ESP32,DHT11,temperature-humidity,humidity,20
262,2025-08-24T12:49:07.232,ESP32,DHT11,temperature-humidity,temperature,22
263,2025-08-24T12:49:07.232,ESP32,DHT11,temperature-humidity,humidity,20
264,2025-08-24T12:49:13.977,ESP32,DHT11,temperature-humidity,humidity,20
265,2025-08-24T12:49:13.977,ESP32,DHT11,temperature-humidity,temperature,22
266,2025-08-24T12:49:20.510,ESP32,DHT11,temperature-humidity,humidity,20
267,2025-08-24T12:49:20.510,ESP32,DHT11,temperature-humidity,temperature,22
268,2025-08-24T12:49:23.175,ESP32,DHT11,temperature-humidity,temperature,22
269,2025-08-24T12:49:23.175,ESP32,DHT11,temperature-humidity,humidity,20
270,2025-08-24T12:49:25.634,ESP32,DHT11,temperature-humidity,temperature,22
271,2025-08-24T12:49:25.634,ESP32,DHT11,temperature-humidity,humidity,20
272,2025-08-24T12:49:28.098,ESP32,DHT11,temperature-humidity,humidity,20
273,2025-08-24T12:49:28.098,ESP32,DHT11,temperature-humidity,temperature,22
274,2025-08-24T12:49:30.993,ESP32,DHT11,temperature-humidity,humidity,34
275,2025-08-24T12:49:30.993,ESP32,DHT11,temperature-humidity,temperature,22
276,2025-08-24T12:49:33.601,ESP32,DHT11,temperature-humidity,temperature,22
277,2025-08-24T12:49:33.601,ESP32,DHT11,temperature-humidity,humidity,20
278,2025-08-24T12:49:36.314,ESP32,DHT11,temperature-humidity,temperature,22
279,2025-08-24T12:49:36.314,ESP32,DHT11,temperature-humidity,humidity,21
280,2025-08-24T12:49:38.979,ESP32,DHT11,temperature-humidity,humidity,20
281,2025-08-24T12:49:38.979,ESP32,DHT11,temperature-humidity,temperature,22
282,2025-08-24T12:49:42.113,ESP32,DHT11,temperature-humidity,humidity,20
283,2025-08-24T12:49:42.113,ESP32,DHT11,temperature-humidity,temperature,22
284,2025-08-24T12:49:45.186,ESP32,DHT11,temperature-humidity,humidity,20
285,2025-08-24T12:49:45.186,ESP32,DHT11,temperature-humidity,temperature,22
286,2025-08-24T12:49:47.803,ESP32,DHT11,temperature-humidity,temperature,22
287,2025-08-24T12:49:47.803,ESP32,DHT11,temperature-humidity,humidity,20
288,2025-08-24T12:49:50.919,ESP32,DHT11,temperature-humidity,humidity,36
289,2025-08-24T12:49:50.919,ESP32,DHT11,temperature-humidity,temperature,22
290,2025-08-24T12:49:53.462,ESP32,DHT11,temperature-humidity,humidity,20
291,2025-08-24T12:49:53.462,ESP32,DHT11,temperature-humidity,temperature,22
292,2025-08-24T12:49:56.451,ESP32,DHT11,temperature-humidity,temperature,22
293,2025-08-24T12:49:56.451,ESP32,DHT11,temperature-humidity,humidity,31
294,2025-08-24T12:49:59.525,ESP32,DHT11,temperature-humidity,temperature,22
295,2025-08-24T12:49:59.525,ESP32,DHT11,temperature-humidity,humidity,20
296,2025-08-24T12:50:02.134,ESP32,DHT11,temperature-humidity,temperature,22
297,2025-08-24T12:50:02.134,ESP32,DHT11,temperature-humidity,humidity,20
298,2025-08-24T12:50:05.257,ESP32,DHT11,temperature-humidity,humidity,34
299,2025-08-24T12:50:05.257,ESP32,DHT11,temperature-humidity,temperature,23
300,2025-08-24T12:50:08.237,ESP32,DHT11,temperature-humidity,temperature,22
301,2025-08-24T12:50:08.237,ESP32,DHT11,temperature-humidity,humidity,20
302,2025-08-24T12:50:12.157,ESP32,DHT11,temperature-humidity,humidity,20
303,2025-08-24T12:50:12.157,ESP32,DHT11,temperature-humidity,temperature,22
304,2025-08-24T12:50:14.631,ESP32,DHT11,temperature-humidity,humidity,20
305,2025-08-24T12:50:14.631,ESP32,DHT11,temperature-humidity,temperature,22
306,2025-08-24T12:50:20.209,ESP32,DHT11,temperature-humidity,temperature,22
307,2025-08-24T12:50:20.209,ESP32,DHT11,temperature-humidity,humidity,20
308,2025-08-24T12:50:22.752,ESP32,DHT11,temperature-humidity,temperature,22
309,2025-08-24T12:50:22.752,ESP32,DHT11,temperature-humidity,humidity,20
310,2025-08-24T12:50:25.738,ESP32,DHT11,temperature-humidity,temperature,22
311,2025-08-24T12:50:25.738,ESP32,DHT11,temperature-humidity,humidity,20
312,2025-08-24T12:50:28.810,ESP32,DHT11,temperature-humidity,temperature,22
313,2025-08-24T12:50:28.810,ESP32,DHT11,temperature-humidity,humidity,20
314,2025-08-24T12:50:31.882,ESP32,DHT11,temperature-humidity,humidity,20
315,2025-08-24T12:50:31.882,ESP32,DHT11,temperature-humidity,temperature,22
316,2025-08-24T12:50:34.430,ESP32,DHT11,temperature-humidity,temperature,22
317,2025-08-24T12:50:34.430,ESP32,DHT11,temperature-humidity,humidity,20
318,2025-08-24T12:50:37.147,ESP32,DHT11,temperature-humidity,humidity,31
319,2025-08-24T12:50:37.147,ESP32,DHT11,temperature-humidity,temperature,22
320,2025-08-24T12:50:42.472,ESP32,DHT11,temperature-humidity,humidity,20
321,2025-08-24T12:50:42.472,ESP32,DHT11,temperature-humidity,temperature,22
322,2025-08-24T12:50:44.945,ESP32,DHT11,temperature-humidity,humidity,20
323,2025-08-24T12:50:44.945,ESP32,DHT11,temperature-humidity,temperature,22
324,2025-08-24T12:50:47.538,ESP32,DHT11,temperature-humidity,humidity,34
325,2025-08-24T12:50:47.538,ESP32,DHT11,temperature-humidity,temperature,22
326,2025-08-24T12:50:52.157,ESP32,DHT11,temperature-humidity,temperature,22
327,2025-08-24T12:50:52.157,ESP32,DHT11,temperature-humidity,humidity,20
328,2025-08-24T12:51:07.481,ESP32,DHT11,temperature-humidity,temperature,22
329,2025-08-24T12:51:07.481,ESP32,DHT11,temperature-humidity,humidity,20
330,2025-08-24T12:51:10.319,ESP32,DHT11,temperature-humidity,humidity,20
331,2025-08-24T12:51:10.319,ESP32,DHT11,temperature-humidity,temperature,22
332,2025-08-24T12:51:12.929,ESP32,DHT11,temperature-humidity,temperature,22
333,2025-08-24T12:51:12.929,ESP32,DHT11,temperature-humidity,humidity,20
334,2025-08-24T12:51:16.674,ESP32,DHT11,temperature-humidity,humidity,31
335,2025-08-24T12:51:16.674,ESP32,DHT11,temperature-humidity,temperature,22
336,2025-08-24T12:51:28.142,ESP32,DHT11,temperature-humidity,temperature,22
337,2025-08-24T12:51:28.142,ESP32,DHT11,temperature-humidity,humidity,20
